,from_name,to_name,type,to_replace,timestamp,datetime,datetime_date,datetime_time
0,Studycode,study_no,string,,,FALSE,,
1,Initials,initials,string,,,FALSE,,
2,Age,age,Int64,,date_enrolment,FALSE,,
3,Sex,gender,category,"{'Male': 1, 'Female': 2, None: None}",date_enrolment,FALSE,,
4,Occupation,occupation,string,,,FALSE,,
5,District,district,string,,,FALSE,,
6,Province,province,string,,,FALSE,,
7,AdmissionDate,admission_date,datetime64[ns],,,TRUE,,
8,Timeadmission,timeadmission,string,,,FALSE,,
9,Ward,ward,category,"{True: 1, False: 2, None: None}",,FALSE,,
10,EnrolmentDate,enrolment_date,datetime64[ns],,,TRUE,,
11,EnrolmentTime,enrolment_time,string,,,FALSE,,
12,entry,entry,category,"{True: 1, False: 2, None: None}",,FALSE,,
13,0,date_enrolment,datetime64[ns],,,TRUE,EnrolmentDate,EnrolmentTime
,,date_admission,datetime64[ns],,,TRUE,AdmissionDate,Timeadmission
