,from_name,to_name,type,to_replace,timestamp,datetime,datetime_date,datetime_time
0,StudyCode,study_no,string,,,FALSE,,
1,Time,time,string,,,FALSE,,
2,Date,date,datetime64[ns],,,TRUE,,
3,DayIllness,day_illness,Int64,,,FALSE,,
4,MaxTemp,body_temperature,float64,,date_collection,FALSE,,
5,MaxRespiratory,respiratory_rate,Int64,,date_collection,FALSE,,
6,RespDistress,respiratory_distress,category,"{True: 1, False: 2}",date_collection,FALSE,,
7,MaxPulse,pulse,Int64,,date_collection,FALSE,,
8,SBP,sbp,Int64,,date_collection,FALSE,,
9,DBP,dbp,Int64,,date_collection,FALSE,,
10,Pulse20,pulse20,category,"{True: 1, False: 2}",,FALSE,,
11,ClinicalShock,clinical_shock,category,"{True: 1, False: 2}",date_collection,FALSE,,
12,Oedema,oedema,category,"{True: 1, False: 2}",date_collection,FALSE,,
13,Rash,skin_rash,category,"{True: 1, False: 2}",date_collection,FALSE,,
14,Rash_Des,skin_rash_description,string,,,FALSE,,
15,Bleeding,bleeding,category,"{True: 1, False: 2}",date_collection,FALSE,,
16,Bruising,bruising,category,"{True: 1, False: 2}",date_collection,FALSE,,
17,Petechiae,petechiae,category,"{True: 1, False: 2}",date_collection,FALSE,,
18,GumBL,bleeding_gum,category,"{True: 1, False: 2}",date_collection,FALSE,,
19,NoseBL,bleeding_nose,category,"{True: 1, False: 2}",date_collection,FALSE,,
20,Hematemesis,hematemesis,category,"{True: 1, False: 2}",date_collection,FALSE,,
21,Melaena,melaena,category,"{True: 1, False: 2}",date_collection,FALSE,,
22,Hematuria,hematuria,category,"{True: 1, False: 2}",date_collection,FALSE,,
23,VeginalBL,bleeding_vaginal,category,"{True: 1, False: 2}",date_collection,FALSE,,
24,OtherBL,bleeding_other,string,,,FALSE,,
25,BLSeverity,blseverity,category,,,FALSE,,
26,BSSkin,bsskin,category,"{True: 1, False: 2}",,FALSE,,
27,Heart,heart,category,"{True: 1, False: 2}",,FALSE,,
28,HeartDetails,heart_details,category,,,FALSE,,
29,Lung,lung,category,"{True: 1, False: 2}",,FALSE,,
30,LungDetails,lung_details,string,,,FALSE,,
31,Vomiting,vomiting,category,"{True: 1, False: 2}",date_collection,FALSE,,
32,VomitingR,vomiting_r,category,"{True: 1, False: 2}",,FALSE,,
33,Diarrhoea,diarrhoea,category,"{True: 1, False: 2}",date_collection,FALSE,,
34,DiarrhoeaR,diarrhoea_r,category,,,FALSE,,
35,Abdopain,abdopain,category,"{True: 1, False: 2}",date_collection,FALSE,,
36,AbdopainR,abdopain_r,category,"{'V_1': 1, 'V_2': 2}",,FALSE,,
37,Jaundice,jaundice,category,"{True: 1, False: 2}",date_collection,FALSE,,
38,JaundiceR,jaundice_r,category,,,FALSE,,
39,Ascites,ascites,category,"{True: 1, False: 2}",date_collection,FALSE,,
40,AscitesR,ascites_r,category,{'V_1': 1},,FALSE,,
41,Liver,liver_palpation,category,"{'V_0': 0, 'V_1': 3, 'V_2': 2, 'V_3': 1, 'V_5': 4}",,FALSE,,
42,Spleen,spleen_palpation,category,{'V_0': 0},,FALSE,,
43,Neurology,neurology,category,{'V_0': 1},,FALSE,,
44,Behaviour,behaviour,category,{'V_0': 1},,FALSE,,
45,Othernotes,othernotes,string,,,FALSE,,
46,entry,entry,category,"{True: 1, False: 2, None: None}",,FALSE,,
47,0,date_collection,datetime64[ns],,,TRUE,Date,Time
