,from_name,to_name,type,to_replace,timestamp,datetime,datetime_date,datetime_time
0,Studycode,studycode,string,,,False,,
1,AENo,aeno,category,"{'V_0': 1, 'V_1': 2, 'V_2': 3, 'V_3': 4}",,False,,
2,OnsetDate,onset_date,datetime64[ns],,,True,,
3,AEResolved,aeresolved,category,"{'V_0': 1, 'V_1': 2}",,False,,
4,ResolutionDate,resolution_date,datetime64[ns],,,True,,
5,SeriousAE,serious_ae,category,"{True: 1, False: 2, None: None}",,False,,
6,SAENumber,saenumber,category,"{'V_0': 2, 'V_1': 5, 'V_2': 3}",,False,,
7,RelationtoDrug,relationto_drug,category,"{'V_0': 3, 'V_1': 4, 'V_2': 1, 'V_3': 2}",,False,,
8,Diagnosis,diagnosis,string,,,False,,
9,Symptoms,symptoms,string,,,False,,
10,Investigations,investigations,string,,,False,,
11,Management,management,string,,,False,,
12,Outcome,outcome,string,,,False,,
13,StandardisedDiagnosis,standardised_diagnosis,string,,,False,,
14,entry,entry,category,"{True: 1, False: 2, None: None}",,False,,
