,from_name,to_name,type,to_replace,timestamp,datetime,datetime_date,datetime_time
0,studycode,studycode,string,,,False,,
1,SampleDate,sample_date,datetime64[ns],,,True,,
2,IL1b,il1b,string,,,False,,
3,IL2,il2,string,,,False,,
4,IL4,il4,string,,,False,,
5,IL5,il5,string,,,False,,
6,IL6,il6,string,,,False,,
7,IL10,il10,string,,,False,,
8,IL12p7,il12p7,string,,,False,,
9,IL13,il13,string,,,False,,
10,IFNg,ifng,string,,,False,,
11,TNFa,tnfa,string,,,False,,
12,IP10,ip10,float64,,,False,,
13,entry,entry,category,"{True: 1, False: 2, None: None}",,False,,
