,from_name,to_name,type,to_replace,timestamp,datetime,datetime_date,datetime_time
0,Studycode,studycode,string,,,False,,
1,Initials,initials,string,,,False,,
2,Age,age,Int64,,,False,,
3,Sex,sex,category,"{True: 1, False: 2, None: None}",,False,,
4,Occupation,occupation,string,,,False,,
5,District,district,string,,,False,,
6,Province,province,string,,,False,,
7,AdmissionDate,admission_date,datetime64[ns],,,True,,
8,Timeadmission,timeadmission,string,,,False,,
9,Ward,ward,category,"{True: 1, False: 2, None: None}",,False,,
10,EnrolmentDate,enrolment_date,datetime64[ns],,,True,,
11,EnrolmentTime,enrolment_time,string,,,False,,
12,entry,entry,category,"{True: 1, False: 2, None: None}",,False,,
13,0,date_enrolment,datetime64[ns],,,True,EnrolmentDate,EnrolmentTime
