,from_name,to_name,type,to_replace,timestamp,datetime,datetime_date,datetime_time
0,StudyCode,study_code,string,,,False,,
1,Dayillness,dayillness,category,"{'V_0': 2, 'V_1': 3, 'V_2': 1}",,False,,
2,FeverDate,fever_date,datetime64[ns],,,True,,
3,Timefever,timefever,string,,,False,,
4,Fever,fever,category,"{True: 1, False: 2, None: None}",,False,,
5,FeverD,fever_d,category,"{'V_0': 2, 'V_1': 3, 'V_2': 1}",,False,,
6,Chills,chills,category,"{True: 1, False: 2, None: None}",,False,,
7,ChillsD,chills_d,category,"{'V_0': 2, 'V_1': 3, 'V_3': 1}",,False,,
8,Fatigue,fatigue,category,"{True: 1, False: 2, None: None}",,False,,
9,FatigueD,fatigue_d,category,"{'V_0': 2, 'V_1': 3, 'V_3': 1}",,False,,
10,Lostappetite,lostappetite,category,"{True: 1, False: 2, None: None}",,False,,
11,LostappetiteD,lostappetite_d,category,"{'V_1': 2, 'V_2': 3, 'V_3': 1}",,False,,
12,Vomiting,vomiting,category,"{True: 1, False: 2, None: None}",,False,,
13,VomitingD,vomiting_d,category,"{'V_1': 2, 'V_2': 1, 'V_3': 3}",,False,,
14,Diarrhoea,diarrhoea,category,"{'V_0': 2, 'V_1': 1, 'V_2': 9}",,False,,
15,DiarrhoeaD,diarrhoea_d,category,"{'V_1': 1, 'V_2': 2, 'V_3': 3}",,False,,
16,Abdopain,abdopain,category,"{'V_0': 2, 'V_1': 1, 'V_2': 9}",,False,,
17,AbdopainD,abdopain_d,category,"{'V_1': 1, 'V_2': 3, 'V_3': 2}",,False,,
18,Sorethroat,sorethroat,category,"{True: 1, False: 2, None: None}",,False,,
19,SorethroatD,sorethroat_d,category,"{'V_1': 3, 'V_2': 2, 'V_3': 1}",,False,,
20,Cough,cough,category,"{True: 1, False: 2, None: None}",,False,,
21,CoughD,cough_d,category,"{'V_0': 2, 'V_1': 3, 'V_3': 1}",,False,,
22,Runnynose,runnynose,category,"{True: 1, False: 2, None: None}",,False,,
23,RunnynoseD,runnynose_d,category,"{'V_1': 3, 'V_2': 2, 'V_3': 1}",,False,,
24,Headache,headache,category,"{True: 1, False: 2, None: None}",,False,,
25,HeadacheD,headache_d,category,"{'V_1': 3, 'V_2': 2, 'V_3': 1}",,False,,
26,Jointpain,jointpain,category,"{True: 1, False: 2, None: None}",,False,,
27,JointpainD,jointpain_d,category,"{'V_0': 1, 'V_2': 3, 'V_3': 2}",,False,,
28,Musclepain,musclepain,category,"{True: 1, False: 2, None: None}",,False,,
29,MusclepainD,musclepain_d,category,"{'V_1': 3, 'V_2': 1, 'V_3': 2}",,False,,
30,Rash,rash,category,"{True: 1, False: 2, None: None}",,False,,
31,RashD,rash_d,category,"{'V_1': 2, 'V_2': 1, 'V_3': 3}",,False,,
32,SkinBleeding,skin_bleeding,category,"{'V_0': 2, 'V_1': 1, 'V_2': 9}",,False,,
33,SkinBleedingD,skin_bleedingd,category,"{'V_1': 1, 'V_2': 2}",,False,,
34,MucosalBleeding,mucosal_bleeding,category,"{'V_0': 2, 'V_1': 1, 'V_2': 9}",,False,,
35,MucosalBleedingD,mucosal_bleedingd,category,"{'V_1': 2, 'V_2': 1, 'V_3': 3}",,False,,
36,Mbdesc,mbdesc,category,"{'V_1': 'CÓ KINH 02 NGÀY TRƯỚC SỐT', 'V_2': 'RỊN MÁU CHÂN RĂNG (BLEEDING OF GUMS)', 'V_3': 'CHẢY MÁU CAM, RỊN MÁU CHÂN RĂNG', 'V_4': 'KINH NGUYỆT N6 LƯỢNG ÍT', 'V_5': 'CHẢY MÁU MŨI'}",,False,,
37,Drug,drug,category,"{True: 1, False: 2, None: None}",,False,,
38,DrugDetails,drug_details,string,,,False,,
39,Ivfluid,ivfluid,category,"{True: 1, False: 2, None: None}",,False,,
40,Ivfluiddetails,ivfluiddetails,string,,,False,,
41,AdmittedHospital,admitted_hospital,category,"{True: 1, False: 2, None: None}",,False,,
42,Ahdetails,ahdetails,string,,,False,,
43,Othernotes,othernotes,category,"{'V_1': 'CÁCH NAY 1 NĂM CÓ BỊ SXH ĐIỀU TRỊ TẠI NHI A ỔN (BN KHÔNG ĐEM THEO GIẤY XUẤT VIỆN', 'V_2': 'CÓ CHỊ BỊ SỐT 4 NGÀY NẰM CÙNG KHOA NHI A (NHẬP VIỆN CÙNG LÚC)', 'V_3': 'CÓ KHÁM Ở PHÒNG MẠCH TƯ (KHÔNG CÓ ĐƠN THUỐC)', 'V_4': 'ĐƯỢC TRUYỀN G 10% 500 ML Ở TRÊN'}",,False,,
44,entry,entry,category,"{True: 1, False: 2, None: None}",,False,,
