,from_name,to_name,type,to_replace,timestamp,datetime,datetime_date,datetime_time
0,Studycode,studycode,string,,,False,,
1,Date,date,datetime64[ns],,,True,,
2,DayIllness,day_illness,Int64,,,False,,
3,Place,place,category,"{'V_0': 1, 'V_1': 4, 'V_3': 3, 'V_4': 2}",,False,,
4,Fluid,fluid,category,"{'V_0': 2, 'V_1': 1}",,False,,
5,FluidVol,fluid_vol,Int64,,,False,,
6,FuidPeriod,fuid_period,Int64,,,False,,
7,ShockRes,shock_res,category,"{'V_0': 2, 'V_1': 1}",,False,,
8,Crystalloid,crystalloid,category,"{'V_0': 2, 'V_1': 1}",,False,,
9,Colloid,colloid,category,"{'V_0': 2, 'V_1': 1}",,False,,
10,FreshBlood,fresh_blood,category,{'V_0': 2},,False,,
11,Packedcells,packedcells,category,"{'V_0': 2, 'V_2': 1}",,False,,
12,OtherFuid,other_fuid,category,"{'V_0': 2, 'V_2': 1}",,False,,
13,FuidOthers,fuid_others,category,"{'V_1': 'GLUCOSE 30%', 'V_2': 'GLUCOSE 30% + DUNG DỊCH NGHIÊN CỨU 525ML', 'V_3': 'GLUCOSE 30% 250 ML', 'V_4': 'GLUCOSE 30% 150 ML', 'V_5': 'GLUCOSE 30 % 100 ML'}",,False,,
14,Inotropes,inotropes,category,"{'V_0': 2, 'V_2': 1}",,False,,
15,Diuretics,diuretics,category,"{'V_0': 2, 'V_2': 1}",,False,,
16,Oxygen,oxygen,category,"{'V_0': 2, 'V_2': 1}",,False,,
17,Ventilation,ventilation,category,"{'V_0': 2, 'V_2': 1}",,False,,
18,Renal,renal,category,{'V_0': 2},,False,,
19,LiverFail,liver_fail,category,{'V_0': 2},,False,,
20,Antibiotics,antibiotics,category,{'V_0': 2},,False,,
21,AntibioticsW,antibiotics_w,category,{},,False,,
22,Othernotes,othernotes,string,,,False,,
23,entry,entry,category,"{True: 1, False: 2, None: None}",,False,,
