,from_name,to_name,type,to_replace,timestamp,datetime,datetime_date,datetime_time
0,StudyCode,study_code,string,,,False,,
1,FinalDiag,final_diag,string,,,False,,
2,TransferICU,transfer_icu,category,"{True: 1, False: 2, None: None}",,False,,
3,specify,specify,category,{'V_1': 'FOR OBSERVATION.NO SPECIFIC COMPLICATION'},,False,,
4,TransferICUDate,transfer_icudate,datetime64[ns],,,True,,
5,TreatShock,treat_shock,category,"{True: 1, False: 2, None: None}",,False,,
6,Comp,comp,category,"{True: 1, False: 2, None: None}",,False,,
7,CompDesc,comp_desc,category,{'V_1': 'XUẤT HUYẾT TIÊU HÓA VÀ NIÊM MẠC MŨI'},,False,,
8,Hypertension,hypertension,category,"{True: 1, False: 2, None: None}",,False,,
9,HyperglRandom,hypergl_random,category,"{True: 1, False: 2, None: None}",,False,,
10,HyperglFasting,hypergl_fasting,category,"{True: 1, False: 2, None: None}",,False,,
11,SecondInfSuspect,second_infsuspect,category,"{True: 1, False: 2, None: None}",,False,,
12,SecondInfConfirm,second_infconfirm,category,"{True: 1, False: 2, None: None}",,False,,
13,DrugStop,drug_stop,category,"{True: 1, False: 2, None: None}",,False,,
14,DrugStopDate,drug_stopdate,datetime64[ns],,,True,,
15,DrugstopDesc,drugstop_desc,string,,,False,,
16,Outcome,outcome,category,"{'V_0': 1, 'V_1': 3}",,False,,
17,DisdeathDate,disdeath_date,datetime64[ns],,,True,,
18,TransferDate,transfer_date,category,{},,False,,
19,HospitalTransfer,hospital_transfer,category,{},,False,,
20,ReasonTransfer,reason_transfer,category,{},,False,,
21,entry,entry,category,"{True: 1, False: 2, None: None}",,False,,
