,from_name,to_name,type,to_replace,timestamp,datetime,datetime_date,datetime_time
0,IsInpatient,is_inpatient,category,"{False: 1, True: 2, None: 9}",,FALSE,,
1,SiteNo,site_no,Int64,,,FALSE,,
2,StudyNo,study_no,string,,,FALSE,,
3,BloodSampleFU,blood_samplefu,boolean,,,FALSE,,
4,DateEnrol,date_enrol,datetime64[ns],,,TRUE,,
5,TimeEnrol,time_enrol,string,,,FALSE,,
6,DateBirth,dob,datetime64[ns],,,TRUE,,
7,DateBirth_D,date_birth_d,Int64,,,FALSE,,
8,DateBirth_M,date_birth_m,Int64,,,FALSE,,
9,DateBirth_Y,date_birth_y,Int64,,,FALSE,,
10,Age,age,Int64,,,FALSE,,
11,AgeUnknown,age_unknown,boolean,,date_enrolment,FALSE,,
12,Sex,gender,category,"{'Male': 1, 'Female': 2, None: None}",date_enrolment,FALSE,,
13,Ward,ward,string,,,FALSE,,
14,District,district,string,,,FALSE,,
15,AlterNumber,alter_number,string,,,FALSE,,
16,DateIllness,date_illness,datetime64[ns],,,TRUE,,
17,TimeIllness,time_illness,string,,,FALSE,,
18,Vomiting,vomiting,category,"{True: 1, False: 2}",date_enrolment,FALSE,,
19,Diarrhoea,diarrhoea,category,"{True: 1, False: 2}",date_enrolment,FALSE,,
20,AbdoPain,abdominal_pain,category,"{True: 1, False: 2, None: None}",date_enrolment,FALSE,,
21,MucosalBlHist,mucosal_blhist,category,"{True: 1, False: 2}",,FALSE,,
22,SkinBlHist,skin_blhist,category,"{True: 1, False: 2}",,FALSE,,
23,Temp,body_temperature,float64,,date_enrolment,FALSE,,
24,Height,height,Int64,,date_enrolment,FALSE,,
25,Weight,weight,float64,,date_enrolment,FALSE,,
26,SkinBlExam,bleeding_skin,boolean,,date_enrolment,FALSE,,
27,MucosalBlExam,bleeding_vaginal,boolean,,date_enrolment,FALSE,,
28,AbdoTender,abdominal_tenderness,boolean,,date_enrolment,FALSE,,
29,Flush,skin_flush,boolean,,date_enrolment,FALSE,,
30,Hepatomegaly,hepatomegaly,boolean,,date_enrolment,FALSE,,
31,Rash,skin_rash,boolean,,date_enrolment,FALSE,,
32,Injection,injection,boolean,,,FALSE,,
33,AdmittedHosp,admitted_hosp,category,"{True: 1, False: 2}",,FALSE,,
34,HospAdmitted,hosp_admitted,Int64,,,FALSE,,
35,WardAdmitted,ward_admitted,string,,,FALSE,,
36,DateAdmitted,date_admitted,datetime64[ns],,,TRUE,,
37,Nurse,nurse,Int64,,,FALSE,,
38,Is13DXAEnrolled,is13dxaenrolled,category,"{True: 1, False: 2}",,FALSE,,
39,entry,entry,category,"{True: 1, False: 2, None: None}",,FALSE,,
,,date_enrolment,datetime64[ns],,,TRUE,DateEnrol,TimeEnrol
,,date_onset,datetime64[ns],,,TRUE,DateIllness,TimeIllness
