,from_name,to_name,type,to_replace,timestamp,datetime,datetime_date,datetime_time
0,StudyNo,study_no,string,,,False,,
1,CannotContact,cannot_contact,category,"{'V_1': 10, 'V_2': 1, 'V_3': 3, 'V_4': 2}",,False,,
2,StudyDay,study_day,Int64,,,False,,
3,Well,well,category,"{'V_0': 2, 'V_1': 1, 'V_3': 9}",,False,,
4,CaredAt,cared_at,category,"{'V_0': 3, 'V_1': 1, 'V_3': 2, 'V_4': 9}",,False,,
5,WhichHosp,which_hosp,Int64,,,False,,
6,WhichWard,which_ward,string,,,False,,
7,DateHosp,date_hosp,datetime64[ns],,,True,,
8,Temp,temp,float64,,,False,,
9,MeasurePos,measure_pos,category,"{'V_1': 1, 'V_2': 2}",,False,,
10,TimeTemp,time_temp,string,,,False,,
11,Vomiting,vomiting,boolean,,,False,,
12,AbdoPain,abdo_pain,boolean,,,False,,
13,Bleeding,bleeding,boolean,,,False,,
14,Restlessness,restlessness,boolean,,,False,,
15,SevereLathargy,severe_lathargy,boolean,,,False,,
16,Breath,breath,boolean,,,False,,
17,ClammySkin,clammy_skin,boolean,,,False,,
18,NoSymp,no_symp,boolean,,,False,,
19,Unknown,unknown,boolean,,,False,,
20,time,time,string,,,False,,
21,timelast,timelast,string,,,False,,
22,hours,hours,float64,,,False,,
23,movement,movement,category,"{'V_1': 2, 'V_2': 1}",,False,,
24,entry,entry,category,"{True: 1, False: 2, None: None}",,False,,
