,from_name,to_name,type,to_replace,timestamp,datetime,datetime_date,datetime_time
0,IsInpatient,is_inpatient,category,"{'V_0': 1, 'V_1': 2, 'V_2': 9}",,False,,
1,SiteNo,site_no,Int64,,,False,,
2,StudyNo,study_no,string,,,False,,
3,BloodSampleFU,blood_samplefu,boolean,,,False,,
4,DateEnrol,date_enrol,datetime64[ns],,,True,,
5,TimeEnrol,time_enrol,string,,,False,,
6,DateBirth,date_birth,datetime64[ns],,,True,,
7,DateBirth_D,date_birth_d,Int64,,,False,,
8,DateBirth_M,date_birth_m,Int64,,,False,,
9,DateBirth_Y,date_birth_y,Int64,,,False,,
10,Age,age,Int64,,,False,,
11,AgeUnknown,age_unknown,boolean,,,False,,
12,Sex,sex,category,"{True: 1, False: 2, None: None}",,False,,
13,Ward,ward,string,,,False,,
14,District,district,string,,,False,,
15,AlterNumber,alter_number,string,,,False,,
16,DateIllness,date_illness,datetime64[ns],,,True,,
17,TimeIllness,time_illness,string,,,False,,
18,Vomiting,vomiting,category,"{'V_0': 1, 'V_1': 2}",,False,,
19,Diarrhoea,diarrhoea,category,"{'V_0': 2, 'V_1': 1}",,False,,
20,AbdoPain,abdo_pain,category,"{True: 1, False: 2, None: None}",,False,,
21,MucosalBlHist,mucosal_blhist,category,"{'V_0': 2, 'V_1': 1}",,False,,
22,SkinBlHist,skin_blhist,category,"{'V_0': 2, 'V_1': 1}",,False,,
23,Temp,temp,float64,,,False,,
24,Height,height,Int64,,,False,,
25,Weight,weight,float64,,,False,,
26,SkinBlExam,skin_blexam,boolean,,,False,,
27,MucosalBlExam,mucosal_blexam,boolean,,,False,,
28,AbdoTender,abdo_tender,boolean,,,False,,
29,Flush,flush,boolean,,,False,,
30,Hepatomegaly,hepatomegaly,boolean,,,False,,
31,Rash,rash,boolean,,,False,,
32,Injection,injection,boolean,,,False,,
33,AdmittedHosp,admitted_hosp,category,"{'V_0': 2, 'V_1': 1}",,False,,
34,HospAdmitted,hosp_admitted,Int64,,,False,,
35,WardAdmitted,ward_admitted,string,,,False,,
36,DateAdmitted,date_admitted,datetime64[ns],,,True,,
37,Nurse,nurse,Int64,,,False,,
38,Is13DXAEnrolled,is13dxaenrolled,category,"{'V_1': 2, 'V_2': 1}",,False,,
39,entry,entry,category,"{True: 1, False: 2, None: None}",,False,,
