,from_name,to_name,type,to_replace,timestamp,datetime,datetime_date,datetime_time
0,StudyNo,study_no,string,,,False,,
1,SiteNo,site_no,Int64,,,False,,
2,DateAssess,date_assess,datetime64[ns],,,True,,
3,BirthDate,birth_date,datetime64[ns],,,True,,
4,BirthDate_D,birth_date_d,Int64,,,False,,
5,BirthDate_M,birth_date_m,Int64,,,False,,
6,BirthDate_Y,birth_date_y,Int64,,,False,,
7,Age,age,Int64,,,False,,
8,AgeUnknown,age_unknown,boolean,,,False,,
9,Sex,sex,category,"{'V_0': 1, 'V_1': 2}",,False,,
10,DateHosp,date_hosp,datetime64[ns],,,True,,
11,DayIllness,day_illness,Int64,,,False,,
12,CareLevel,care_level,category,"{'V_0': 1, 'V_1': 3, 'V_2': 2}",,False,,
13,ShockSyndrome,shock_syndrome,category,"{'V_0': 1, 'V_1': 2}",,False,,
14,DateShock,date_shock,datetime64[ns],,,True,,
15,SBP,sbp,Int64,,,False,,
16,DBP,dbp,Int64,,,False,,
17,Perfusion,perfusion,category,{'V_0': 1},,False,,
18,Pulse,pulse,Int64,,,False,,
19,PulseStatus,pulse_status,category,"{'V_0': 2, 'V_2': 8, 'V_3': 1}",,False,,
20,ReShock,re_shock,category,"{'V_0': 2, 'V_2': 1}",,False,,
21,SevereBL,severe_bl,category,"{'V_0': 2, 'V_1': 1, 'V_2': 9}",,False,,
22,DateBL,date_bl,datetime64[ns],,,True,,
23,SkinBL,skin_bl,boolean,,,False,,
24,NoseBL,nose_bl,boolean,,,False,,
25,GumBL,gum_bl,boolean,,,False,,
26,GiGL,gi_gl,boolean,,,False,,
27,VenSiteBL,ven_sitebl,boolean,,,False,,
28,UrineBL,urine_bl,boolean,,,False,,
29,VaginaBL,vagina_bl,boolean,,,False,,
30,OtherBL,other_bl,category,"{'V_1': 'HEMATOME CÁNH TAY TRÁI', 'V_2': 'XUẤT HUYẾT NÃO, MÀNG PHỔI, MÀNG BỤNG'}",,False,,
