,from_name,to_name,type,to_replace,timestamp,datetime,datetime_date,datetime_time
0,StudyNo,study_no,string,,,FALSE,,
1,Initials,initials,string,,,FALSE,,
2,Age,age,Int64,,date_enrolment,FALSE,,
3,Sex,gender,category,"{'Male': 1, 'Female': 2, None: None}",date_enrolment,FALSE,,
4,Occupation,occupation,string,,,FALSE,,
5,District,district,string,,,FALSE,,
6,Province,province,string,,,FALSE,,
7,enDate,en_date,datetime64[ns],,,TRUE,,
8,enTime,en_time,string,,,FALSE,,
9,Anemia,anemia,category,"{True: 1, False: 2, None: None}",date_enrolment,FALSE,,
10,Diabetes,diabetes,category,"{True: 1, False: 2, None: 9}",date_enrolment,FALSE,,
11,Asthma,asthma,category,"{True: 1, False: 2, None: 9}",date_enrolment,FALSE,,
12,CoronaryHeart,coronary_heart_disease,category,"{True: 1, False: 2, None: 9}",date_enrolment,FALSE,,
13,Hypertension,hypertension,category,"{True: 1, False: 2, None: None}",date_enrolment,FALSE,,
14,PepticUlcer,peptic_ulcer,category,"{True: 1, False: 2, None: None}",date_enrolment,FALSE,,
15,ChronicHepatitis,chronic_hepatitis,category,"{True: 1, False: 2, None: 9}",date_enrolment,FALSE,,
16,RenalDisease,renal_disease,category,"{True: 1, False: 2, None: None}",date_enrolment,FALSE,,
17,Other,other,category,"{True: 1, False: 2, None: 9}",,FALSE,,
18,Detail,detail,string,,,FALSE,,
19,Pregnant,pregnant,category,"{True: 1, False: 2}",date_enrolment,FALSE,,
20,FeverDate,fever_date,datetime64[ns],,,TRUE,,
21,FeverTime,fever_time,string,,,FALSE,,
22,Chills,chills,category,"{True: 1, False: 2, None: 9}",chill_date,FALSE,,
23,ChillDate,chill_date,datetime64[ns],,,TRUE,,
24,Anorexia,anorexia,category,"{True: 1, False: 2, None: None}",anorexia_date,FALSE,,
25,AnorexiaDate,anorexia_date,datetime64[ns],,,TRUE,,
26,Nausea,nausea,category,"{True: 1, False: 2, None: 9}",nausea_date,FALSE,,
27,NauseaDate,nausea_date,datetime64[ns],,,TRUE,,
28,Vomiting,vomiting,category,"{True: 1, False: 2, None: 9}",,FALSE,,
29,VomitingDate,vomiting_date,datetime64[ns],,,TRUE,,
30,VomitingYes,vomiting_level,category,,vomiting_date,FALSE,,
31,Diarrhoea,diarrhoea,category,"{True: 1, False: 2, None: None}",diarrhoea_date,FALSE,,
32,DiarrhoeaDate,diarrhoea_date,datetime64[ns],,,TRUE,,
33,Abdominal,abdominal_pain,category,"{True: 1, False: 2, None: None}",,FALSE,,
34,AbdominalDate,abdominal_pain_date,datetime64[ns],,,TRUE,,
35,AbdominalYes,abdominal_pain_level,category,,abdominal_pain_date,FALSE,,
36,SoreThroat,sore_throat,category,"{True: 1, False: 2, None: 9}",sore_throat_date,FALSE,,
37,SoreThroatDate,sore_throat_date,datetime64[ns],,,TRUE,,
38,Cough,cough,category,"{True: 1, False: 2, None: None}",cough_date,FALSE,,
39,CoughDate,cough_date,datetime64[ns],,,TRUE,,
40,Headache,headache,category,"{True: 1, False: 2, None: None}",,FALSE,,
41,HeadacheDate,headache_date,datetime64[ns],,,TRUE,,
42,HeadacheYes,headache_level,category,,headache_date,FALSE,,
43,Joint,joint_pain,category,"{True: 1, False: 2}",,FALSE,,
44,JointDate,joint_pain_date,datetime64[ns],,,TRUE,,
45,JointYes,joint_pain_level,category,,joint_pain_date,FALSE,,
46,MusclePain,muscle_pain,category,"{True: 1, False: 2, None: None}",,FALSE,,
47,MusclePainDate,muscle_pain_date,datetime64[ns],,,TRUE,,
48,MusclePainYes,muscle_pain_level,category,,muscle_pain_date,FALSE,,
49,Retro,retro_pain,category,"{True: 1, False: 2, None: None}",retro_pain_date,FALSE,,
50,RetroDate,retro_pain_date,datetime64[ns],,,TRUE,,
51,SkinBleeding,bleeding_skin,category,"{True: 1, False: 2, None: None}",skin_bleeding_date,FALSE,,
52,SkinBleedingDate,skin_bleeding_date,datetime64[ns],,,TRUE,,
53,MucosalB,mucosal_b,category,"{True: 1, False: 2, None: None}",,FALSE,,
54,MucosalBDate,mucosal_bdate,datetime64[ns],,,TRUE,,
55,MucosalBDes,mucosal_bdes,string,,,FALSE,,
56,FeelingD,feeling_faint,category,"{True: 1, False: 2, None: None}",,FALSE,,
57,FeelingDDate,feeling_faint_date,datetime64[ns],,,TRUE,,
58,OtherSymptoms,other_symptoms,category,,,FALSE,,
59,AnyTreatment,any_treatment,category,"{True: 1, False: 2, None: None}",,FALSE,,
60,TreatmentDetails,treatment_details,string,,,FALSE,,
61,ReMedicatoion,re_medicatoion,category,"{True: 1, False: 2}",,FALSE,,
62,MedicationtDetails,medicationt_details,string,,,FALSE,,
63,entry,entry,category,"{True: 1, False: 2, None: None}",,FALSE,,
64,0,date_enrolment,datetime64[ns],,,TRUE,enDate,enTime
65,1,date_fever,datetime64[ns],,,TRUE,FeverDate,FeverTime
