,from_name,to_name,type,to_replace,timestamp,datetime,datetime_date,datetime_time
0,StudyNo,study_no,string,,,FALSE,,
1,Initials,initials,string,,,FALSE,,
2,MgmDate,mgm_date,datetime64[ns],,,TRUE,,
3,Mtime,mtime,string,,,FALSE,,
4,Studyday,studyday,Int64,,,FALSE,,
5,ParenFluid,parental_fluid,category,"{False: 'NO', True: 'YES'}",date_management,FALSE,,
6,TotalVolume,parental_fluid_volume,Int64,,date_management,FALSE,,
7,InfuDate,infu_date,datetime64[ns],,,TRUE,,
8,InfuTime,infu_time,string,,,FALSE,,
9,StateFluYes,fluid_state,category,"{'Study OPD':1, 'Study IPD':2, 'Other':3}",date_management,FALSE,,
10,ShockResus,shock_resucitation,category,"{False: 'NO', True: 'YES'}",date_management,FALSE,,
11,Rehydration,rehydration,category,"{False: 'NO', True: 'YES'}",date_management,FALSE,,
12,HaemorrhageTreat,haemorrhage_treatment,category,"{False: 'NO', True: 'YES'}",date_management,FALSE,,
13,HighHaematocrit,haematocrit_high,category,"{False: 'NO', True: 'YES'}",date_management,FALSE,,
14,Anorexia,anorexia,category,"{False: 'NO', True: 'YES'}",date_management,FALSE,,
15,PersistentVo,vomiting,category,"{False: 'NO', True: 'YES'}",date_management,FALSE,,
16,OtherReasonFluid,other_reason_fluid,category,"{False: 'NO', True: 'YES'}",date_management,FALSE,,
17,ORDefine,other_reason_fluid_description,string,,date_management,FALSE,,
18,Crystalloid,crystalloid,category,"{False: 'NO', True: 'YES'}",date_management,FALSE,,
19,CrystalloidD,crystalloid_description,string,,date_management,FALSE,,
20,Colloid,colloid,category,"{False: 'NO', True: 'YES'}",date_management,FALSE,,
21,ColloidD,colloid_description,category,,date_management,FALSE,,
22,BloodFluid,blood_fluid,category,"{False: 'NO', True: 'YES'}",date_management,FALSE,,
23,Platelets,platelets,category,"{False: 'NO', True: 'YES'}",date_management,FALSE,,
24,Otherbloodproduct,other_blood_product,category,"{False: 'NO', True: 'YES'}",date_management,FALSE,,
25,OBPDetail,other_blood_product_detail,category,,date_management,FALSE,,
26,AnyAntibiotics,antibiotics,category,"{False: 'NO', True: 'YES'}",date_management,FALSE,,
27,WhichAn,antibiotics_list,string,,date_management,FALSE,,
28,OtherMedication,medication,category,"{False: 'NO', True: 'YES'}",date_management,FALSE,,
29,LisMedication,medication_list,string,,date_management,FALSE,,
30,entry,entry,category,"{True: 1, False: 2, None: None}",,FALSE,,
31,0,date_infusion,datetime64[ns],,,TRUE,InfuDate,InfuTime
,1,date_management,datetime64[ns],,,TRUE,MgmDate,Mtime
