,from_name,to_name,type,to_replace,timestamp,datetime,datetime_date,datetime_time
0,StudyNo,study_no,string,,,False,,
1,Initials,initials,string,,,False,,
2,enDate,en_date,datetime64[ns],,,True,,
3,enTime,en_time,string,,,False,,
4,Temperature,temperature,float64,,,False,,
5,TempTime,temp_time,category,"{'V_1': 3, 'V_2': 6, 'V_3': 24, 'V_4': 5}",,False,,
6,Pulse,pulse,Int64,,,False,,
7,dbp,dbp,Int64,,,False,,
8,sbp,sbp,Int64,,,False,,
9,ResRate,res_rate,Int64,,,False,,
10,Weight,weight,Int64,,,False,,
11,Height,height,Int64,,,False,,
12,SkinRash,skin_rash,category,"{True: 1, False: 2, None: None}",,False,,
13,SkinDescribe,skin_describe,category,"{'V_1': 'MACULOPAPULAR', 'V_2': 'MACULAR ', 'V_3': 'RECOVERY', 'V_4': 'MACULAR', 'V_5': 'MACULER'}",,False,,
14,SkinFlush,skin_flush,category,"{True: 1, False: 2, None: None}",,False,,
15,Lymphad,lymphad,category,"{'V_0': 2, 'V_1': 1}",,False,,
16,LymSite,lym_site,category,{'V_1': 1},,False,,
17,ConInjection,con_injection,category,"{'V_0': 1, 'V_1': 2}",,False,,
18,PhaInjection,pha_injection,category,"{True: 1, False: 2, None: None}",,False,,
19,Rhinitis,rhinitis,category,"{'V_0': 2, 'V_1': 1}",,False,,
20,Jaundice,jaundice,category,"{True: 1, False: 2, None: None}",,False,,
21,Bruising,bruising,category,"{True: 1, False: 2, None: None}",,False,,
22,Petechiae,petechiae,category,"{True: 1, False: 2, None: None}",,False,,
23,GumBleeding,gum_bleeding,category,"{True: 1, False: 2, None: None}",,False,,
24,NoseBleeding,nose_bleeding,category,"{True: 1, False: 2, None: None}",,False,,
25,Hematemesis,hematemesis,category,"{True: 1, False: 2, None: None}",,False,,
26,Melaena,melaena,category,"{True: 1, False: 2, None: None}",,False,,
27,Hematuria,hematuria,category,"{True: 1, False: 2, None: None}",,False,,
28,Unusualbleeding,unusualbleeding,category,"{'V_1': 2, 'V_2': 1}",,False,,
29,OtherBleeding,other_bleeding,category,{'V_0': 2},,False,,
30,OBleedingSite,obleeding_site,category,{},,False,,
31,HeartSound,heart_sound,category,"{True: 1, False: 2, None: None}",,False,,
32,HeartSoundDes,heart_sounddes,category,{},,False,,
33,Oedema,oedema,category,"{True: 1, False: 2, None: None}",,False,,
34,ResDistress,res_distress,category,"{True: 1, False: 2, None: None}",,False,,
35,PleuralEffusion,pleural_effusion,category,"{True: 1, False: 2, None: None}",,False,,
36,RalesCrakles,rales_crakles,category,"{True: 1, False: 2, None: None}",,False,,
37,Tenderness,tenderness,category,"{'V_0': 2, 'V_2': 1}",,False,,
38,Ascites,ascites,category,"{True: 1, False: 2, None: None}",,False,,
39,LiverPal,liver_pal,category,"{True: 1, False: 2, None: None}",,False,,
40,IfPal1,if_pal1,category,"{'V_1': 2, 'V_2': 1}",,False,,
41,SpleenPal,spleen_pal,category,"{True: 1, False: 2, None: None}",,False,,
42,IfPal2,if_pal2,category,{},,False,,
43,Lethargy,lethargy,category,"{True: 1, False: 2, None: None}",,False,,
44,Restlessness,restlessness,category,"{True: 1, False: 2, None: None}",,False,,
45,NeuAbnormal,neu_abnormal,category,"{True: 1, False: 2, None: None}",,False,,
46,IfAbnormal,if_abnormal,category,{},,False,,
47,OtherNote,other_note,category,{},,False,,
48,entry,entry,category,"{True: 1, False: 2, None: None}",,False,,
49,0,date_en,datetime64[ns],,,True,enDate,enTime
