,from_name,to_name,type,to_replace,timestamp,datetime,datetime_date,datetime_time
0,StudyNo,study_no,string,,,False,,
1,Initials,initials,string,,,False,,
2,Age,age,Int64,,,False,,
3,Sex,sex,category,"{True: 1, False: 2, None: None}",,False,,
4,Occupation,occupation,string,,,False,,
5,District,district,string,,,False,,
6,Province,province,string,,,False,,
7,enDate,en_date,datetime64[ns],,,True,,
8,enTime,en_time,string,,,False,,
9,Anemia,anemia,category,"{True: 1, False: 2, None: None}",,False,,
10,Diabetes,diabetes,category,"{'V_0': 2, 'V_1': 9, 'V_2': 1}",,False,,
11,Asthma,asthma,category,"{'V_0': 2, 'V_1': 9, 'V_2': 1}",,False,,
12,CoronaryHeart,coronary_heart,category,"{'V_0': 2, 'V_1': 9, 'V_2': 1}",,False,,
13,Hypertension,hypertension,category,"{True: 1, False: 2, None: None}",,False,,
14,PepticUlcer,peptic_ulcer,category,"{True: 1, False: 2, None: None}",,False,,
15,ChronicHepatitis,chronic_hepatitis,category,"{'V_0': 2, 'V_1': 9, 'V_2': 1}",,False,,
16,RenalDisease,renal_disease,category,"{True: 1, False: 2, None: None}",,False,,
17,Other,other,category,"{'V_0': 2, 'V_1': 1, 'V_3': 9}",,False,,
18,Detail,detail,string,,,False,,
19,Pregnant,pregnant,category,"{'V_1': 2, 'V_2': 1}",,False,,
20,FeverDate,fever_date,datetime64[ns],,,True,,
21,FeverTime,fever_time,string,,,False,,
22,Chills,chills,category,"{'V_0': 1, 'V_1': 2, 'V_2': 9}",,False,,
23,ChillDate,chill_date,datetime64[ns],,,True,,
24,Anorexia,anorexia,category,"{True: 1, False: 2, None: None}",,False,,
25,AnorexiaDate,anorexia_date,datetime64[ns],,,True,,
26,Nausea,nausea,category,"{'V_0': 2, 'V_1': 1, 'V_2': 9}",,False,,
27,NauseaDate,nausea_date,datetime64[ns],,,True,,
28,Vomiting,vomiting,category,"{'V_0': 2, 'V_1': 1, 'V_2': 9}",,False,,
29,VomitingDate,vomiting_date,datetime64[ns],,,True,,
30,VomitingYes,vomiting_yes,category,"{'V_1': 2, 'V_2': 1, 'V_3': 3}",,False,,
31,Diarrhoea,diarrhoea,category,"{True: 1, False: 2, None: None}",,False,,
32,DiarrhoeaDate,diarrhoea_date,datetime64[ns],,,True,,
33,Abdominal,abdominal,category,"{True: 1, False: 2, None: None}",,False,,
34,AbdominalDate,abdominal_date,datetime64[ns],,,True,,
35,AbdominalYes,abdominal_yes,category,"{'V_1': 1, 'V_2': 3, 'V_3': 2}",,False,,
36,SoreThroat,sore_throat,category,"{'V_0': 2, 'V_1': 1, 'V_2': 9}",,False,,
37,SoreThroatDate,sore_throatdate,datetime64[ns],,,True,,
38,Cough,cough,category,"{True: 1, False: 2, None: None}",,False,,
39,CoughDate,cough_date,datetime64[ns],,,True,,
40,Headache,headache,category,"{True: 1, False: 2, None: None}",,False,,
41,HeadacheDate,headache_date,datetime64[ns],,,True,,
42,HeadacheYes,headache_yes,category,"{'V_0': 2, 'V_1': 3, 'V_2': 1}",,False,,
43,Joint,joint,category,"{'V_0': 1, 'V_1': 2}",,False,,
44,JointDate,joint_date,datetime64[ns],,,True,,
45,JointYes,joint_yes,category,"{'V_0': 1, 'V_1': 3, 'V_3': 2}",,False,,
46,MusclePain,muscle_pain,category,"{True: 1, False: 2, None: None}",,False,,
47,MusclePainDate,muscle_paindate,datetime64[ns],,,True,,
48,MusclePainYes,muscle_painyes,category,"{'V_0': 1, 'V_2': 2}",,False,,
49,Retro,retro,category,"{True: 1, False: 2, None: None}",,False,,
50,RetroDate,retro_date,datetime64[ns],,,True,,
51,SkinBleeding,skin_bleeding,category,"{True: 1, False: 2, None: None}",,False,,
52,SkinBleedingDate,skin_bleedingdate,datetime64[ns],,,True,,
53,MucosalB,mucosal_b,category,"{True: 1, False: 2, None: None}",,False,,
54,MucosalBDate,mucosal_bdate,datetime64[ns],,,True,,
55,MucosalBDes,mucosal_bdes,string,,,False,,
56,FeelingD,feeling_d,category,"{True: 1, False: 2, None: None}",,False,,
57,FeelingDDate,feeling_ddate,datetime64[ns],,,True,,
58,OtherSymptoms,other_symptoms,category,"{'V_1': 'INSOMNIA,MEASLES', 'V_2': 'MIGRAINE'}",,False,,
59,AnyTreatment,any_treatment,category,"{True: 1, False: 2, None: None}",,False,,
60,TreatmentDetails,treatment_details,string,,,False,,
61,ReMedicatoion,re_medicatoion,category,"{'V_0': 2, 'V_1': 1}",,False,,
62,MedicationtDetails,medicationt_details,string,,,False,,
63,entry,entry,category,"{True: 1, False: 2, None: None}",,False,,
64,0,date_en,datetime64[ns],,,True,enDate,enTime
65,1,date_fever,datetime64[ns],,,True,FeverDate,FeverTime
