,from_name,to_name,type,to_replace,timestamp,datetime,datetime_date,datetime_time
0,SUBJID,study_no,string,,,FALSE,,
1,Initial,initial,string,,,FALSE,,
2,FeverDate,fever_date,datetime64[ns],,,TRUE,,
3,FeverTime,fever_time,string,,,FALSE,,
4,ChillsRigors,chills,category,"{True: 1, False: 2, None: None}",chills_date,FALSE,,
5,ChillsRigorsDate,chills_date,datetime64[ns],,,TRUE,,
6,Anorexia,anorexia,category,"{True: 1, False: 2, None: None}",anorexia_date,FALSE,,
7,AnorexiaDate,anorexia_date,datetime64[ns],,,TRUE,,
8,Nausea,nausea,category,"{True: 1, False: 2, None: None}",nausea_date,FALSE,,
9,NauseaDate,nausea_date,datetime64[ns],,,TRUE,,
10,Vomiting,vomiting,category,"{True: 1, False: 2, None: None}",,FALSE,,
11,VomitingDate,vomiting_date,datetime64[ns],,,TRUE,,
12,VomitingSev,vomiting_level,category,,vomiting_date,FALSE,,
13,Diarrhoea,diarrhoea,category,"{True: 1, False: 2, None: None}",diarrhoea_date,FALSE,,
14,DiarrhoeaDate,diarrhoea_date,datetime64[ns],,,TRUE,,
15,Abdominal,abdominal_pain,category,"{True: 1, False: 2, None: None}",,FALSE,,
16,AbdominalDate,abdominal_pain_date,datetime64[ns],,,TRUE,,
17,AbdominalSev,abdominal_pain_level,category,,abdominal_pain_date,FALSE,,
18,SoreThroat,sore_throat,category,"{True: 1, False: 2, None: None}",sore_throat_date,FALSE,,
19,SoreThroatDate,sore_throat_date,datetime64[ns],,,TRUE,,
20,Cough,cough,category,"{True: 1, False: 2, None: None}",cough_date,FALSE,,
21,CoughDate,cough_date,datetime64[ns],,,TRUE,,
22,Headache,headache,category,"{True: 1, False: 2, None: None}",,FALSE,,
23,HeadacheDate,headache_date,datetime64[ns],,,TRUE,,
24,HeadacheSev,headache_level,category,,headache_date,FALSE,,
25,JointBone,joint_pain,category,"{True: 1, False: 2, None: None}",,FALSE,,
26,JointBoneDate,joint_pain_date,datetime64[ns],,,TRUE,,
27,JointBoneSev,joint_pain_level,category,,joint_pain_date,FALSE,,
28,Muscle,muscle_pain,category,"{True: 1, False: 2, None: None}",,FALSE,,
29,MuscleDate,muscle_pain_date,datetime64[ns],,,TRUE,,
30,MuscleSev,muscle_pain_level,category,,muscle_pain_date,FALSE,,
31,RetroOrbital,retro_orbital,category,"{True: 1, False: 2, None: None}",,FALSE,,
32,RetroOrbitalDate,retro_orbitaldate,datetime64[ns],,,TRUE,,
33,SkinBleeding,bleeding_skin,category,"{True: 1, False: 2, None: None}",skin_date,FALSE,,
34,SkinDate,skin_date,datetime64[ns],,,TRUE,,
35,MucosalBleeding,bleeding_mucosal,category,"{True:1, False: 2, None: 9}",mucosal_date,FALSE,,
36,MucosalDate,mucosal_date,datetime64[ns],,,TRUE,,
37,MucosalSpec,bleedin_mucosal_specification,string,,,FALSE,,
38,FeelingDizzy,feeling_faint,category,"{True:1, False: 2, None: 9}",feeling_faint_date,FALSE,,
39,FeelingDizzyDate,feeling_faint_date,datetime64[ns],,,TRUE,,
40,OTHSymptom,othsymptom,string,,,FALSE,,
41,Present,present,category,"{'V_0': 1, 'V_1': 9, 'V_2': 2}",,FALSE,,
42,PresentDate,present_date,object,,,FALSE,,
43,Treatment,treatment,string,,,FALSE,,
44,TreatmentDrugs,treatment_drugs,category,"{True: 1, False: 2, None: None}",,FALSE,,
45,TreatmentDetail,treatment_detail,string,,,FALSE,,
46,Medication,medication,category,"{True: 1, False: 2, None: None}",,FALSE,,
47,MedicationDetail,medication_detail,string,,,FALSE,,
48,Urinalysis,urinalysis,category,"{True: 1, False: 2, None: None}",,FALSE,,
49,entry,entry,category,"{True: 1, False: 2, None: None}",,FALSE,,
50,0,date_fever,datetime64[ns],,,TRUE,FeverDate,FeverTime
