,from_name,to_name,type,to_replace,timestamp,datetime,datetime_date,datetime_time
0,SUBJID,study_no,string,,,FALSE,,
1,Initial,initial,string,,,FALSE,,
2,Age,age,Int64,,date_enrolment,FALSE,,
3,Occupation,occupation,Int64,,,FALSE,,
4,OTHOccupation,othoccupation,string,,,FALSE,,
5,District,district,string,,,FALSE,,
6,Province,province,string,,,FALSE,,
7,EnrolmentDate,enrolment_date,datetime64[ns],,,TRUE,,
8,EnrolmentTime,enrolment_time,string,,,FALSE,,
9,IllnessDay,illness_day,Int64,,,FALSE,,
10,HTDDate,htddate,datetime64[ns],,,TRUE,,
11,AdmissionDate,admission_date,datetime64[ns],,,TRUE,,
12,AdmissionDateNA,admission_datena,boolean,,,FALSE,,
13,Presenting,presenting,string,,,FALSE,,
14,entry,entry,category,"{True: 1, False: 2, None: None}",,FALSE,,
15,0,date_enrolment,datetime64[ns],,,TRUE,EnrolmentDate,EnrolmentTime
