,from_name,to_name,type,to_replace,timestamp,datetime,datetime_date,datetime_time
0,SUBJID,subjid,string,,,False,,
1,Initial,initial,string,,,False,,
2,BabyNo,baby_no,category,"{True: 1, False: 2, None: None}",,False,,
3,DeliveryDate,delivery_date,datetime64[ns],,,True,,
4,DeliveryTime,delivery_time,string,,,False,,
5,WeekGestationAge,week_gestationage,Int64,,,False,,
6,DayGestationAge,day_gestationage,Int64,,,False,,
7,FetalPresentation,fetal_presentation,category,"{'V_0': 1, 'V_1': 2, 'V_2': 3}",,False,,
8,BabyStatus,baby_status,category,"{True: 1, False: 2, None: None}",,False,,
9,BabySex,baby_sex,category,"{True: 1, False: 2, None: None}",,False,,
10,ApgarScore,apgar_score,category,"{'V_1': 8, 'V_2': 9, 'V_3': 7}",,False,,
11,ICU,icu,category,"{True: 1, False: 2, None: None}",,False,,
12,ICUDay,icuday,Int64,,,False,,
13,NewbornDiagnosed,newborn_diagnosed,category,"{True: 1, False: 2, None: None}",,False,,
14,Respiratory,respiratory,category,"{'V_0': 0, 'V_2': 1}",,False,,
15,Inflammatory,inflammatory,category,{'V_0': 0},,False,,
16,TransientTachypnea,transient_tachypnea,category,"{'V_0': 0, 'V_2': 1}",,False,,
17,Seizures,seizures,category,"{'V_0': 0, 'V_2': 1}",,False,,
18,ApneaPrematurity,apnea_prematurity,category,{'V_0': 0},,False,,
19,NecrotisingEnterocolitis,necrotising_enterocolitis,category,{'V_0': 0},,False,,
20,Bronchopulmonary,bronchopulmonary,category,{'V_0': 0},,False,,
21,Meningitis,meningitis,category,{'V_0': 0},,False,,
22,Pneumothorax,pneumothorax,category,{'V_0': 0},,False,,
23,Hypoglycaemia,hypoglycaemia,category,{'V_0': 0},,False,,
24,MeconiumAspiration,meconium_aspiration,category,"{'V_0': 0, 'V_2': 1}",,False,,
25,Anaemia,anaemia,category,{'V_0': 0},,False,,
26,NoOralFeeds,no_oralfeeds,category,"{'V_0': 0, 'V_2': 1}",,False,,
27,Hypotension,hypotension,category,{'V_0': 0},,False,,
28,Retinopathy,retinopathy,category,{'V_0': 0},,False,,
29,Intraventricular,intraventricular,category,{'V_0': 0},,False,,
30,HypoxicIschemic,hypoxic_ischemic,category,{'V_0': 0},,False,,
31,Polycythaemia,polycythaemia,category,{'V_0': 0},,False,,
32,TORCH,torch,category,{'V_0': 0},,False,,
33,PatentDuctusArteriosus,patent_ductusarteriosus,category,{'V_0': 0},,False,,
34,HIV,hiv,category,{'V_0': 0},,False,,
35,SeriousCondition,serious_condition,category,"{'V_0': 0, 'V_1': 1}",,False,,
36,NeonatalSepsis,neonatal_sepsis,category,"{'V_0': 0, 'V_2': 1}",,False,,
37,CongenitalAbnormality,congenital_abnormality,category,"{'V_0': 0, 'V_2': 1}",,False,,
38,FetalInfection,fetal_infection,category,{'V_0': 0},,False,,
39,DischargeStatus,discharge_status,category,"{True: 1, False: 2, None: None}",,False,,
40,DeathDate,death_date,datetime64[ns],,,True,,
41,BabyAge,baby_age,Int64,,,False,,
42,OTHHospitalDate,othhospital_date,datetime64[ns],,,True,,
43,OTHHospitalWeight,othhospital_weight,Int64,,,False,,
44,OTHHospitalLength,othhospital_length,float64,,,False,,
45,OTHHospitalHead,othhospital_head,float64,,,False,,
46,HTDDate,htddate,datetime64[ns],,,True,,
47,HTDWeight,htdweight,Int64,,,False,,
48,HTDLength,htdlength,float64,,,False,,
49,HTDHead,htdhead,float64,,,False,,
50,Temperature,temperature,float64,,,False,,
51,Pulse,pulse,Int64,,,False,,
52,RespiratoryRate,respiratory_rate,Int64,,,False,,
53,FeedingMode,feeding_mode,category,"{'V_0': 3, 'V_1': 1, 'V_2': 2, 'V_3': 4}",,False,,
54,Well,well,category,"{True: 1, False: 2, None: None}",,False,,
55,SignificantProblems,significant_problems,string,,,False,,
56,Abnormality,abnormality,string,,,False,,
57,Fever,fever,category,"{True: 1, False: 2, None: None}",,False,,
58,FeverSpec,fever_spec,string,,,False,,
59,Treatment,treatment,category,"{True: 1, False: 2, None: None}",,False,,
60,TreatmentSpec,treatment_spec,string,,,False,,
61,ClinicHospital,clinic_hospital,category,"{True: 1, False: 2, None: None}",,False,,
62,ClinicHospitalSpec,clinic_hospitalspec,string,,,False,,
63,entry,entry,category,"{True: 1, False: 2, None: None}",,False,,
64,0,date_delivery,datetime64[ns],,,True,DeliveryDate,DeliveryTime
