,from_name,to_name,type,to_replace,timestamp,datetime,datetime_date,datetime_time
0,SUBJID,subjid,string,,,False,,
1,Initial,initial,string,,,False,,
2,FUSTAT,fustat,category,"{'V_0': 'B', 'V_1': 'C', 'V_2': 'D', 'V_3': 'A'}",,False,,
3,FUDate,fudate,datetime64[ns],,,True,,
4,Coincidence,coincidence,category,"{'V_0': 1, 'V_1': 2}",,False,,
5,Well,well,category,"{'V_0': 1, 'V_1': 2}",,False,,
6,Problem,problem,string,,,False,,
7,Abnormal,abnormal,string,,,False,,
8,Fever,fever,category,"{'V_0': 2, 'V_2': 1}",,False,,
9,FeverSpec,fever_spec,string,,,False,,
10,Antibiotic,antibiotic,category,"{'V_0': 2, 'V_1': 1}",,False,,
11,AntibioticSpec,antibiotic_spec,string,,,False,,
12,OTHClinic,othclinic,category,"{'V_0': 2, 'V_1': 1}",,False,,
13,OTHClinicSpec,othclinic_spec,string,,,False,,
14,Diagnosis,diagnosis,string,,,False,,
15,BloodTaken,blood_taken,category,"{'V_0': 1, 'V_1': 2}",,False,,
16,entry,entry,category,"{True: 1, False: 2, None: None}",,False,,
