,from_name,to_name,type,to_replace,timestamp,datetime,datetime_date,datetime_time
0,SUBJID,subjid,string,,,False,,
1,Initial,initial,string,,,False,,
2,FUW,fuw,category,"{'V_0': 'W28', 'V_1': 'W36', 'V_2': 'W28_2'}",,False,,
3,FUSTAT,fustat,category,"{'V_0': 'A', 'V_1': 'B', 'V_2': 'C'}",,False,,
4,FUDate,fudate,datetime64[ns],,,True,,
5,AgeWeek,age_week,Int64,,,False,,
6,AgeDay,age_day,Int64,,,False,,
7,Coincidence,coincidence,category,"{'V_0': 1, 'V_1': 2}",,False,,
8,Temp,temp,float64,,,False,,
9,Pulse,pulse,Int64,,,False,,
10,SBP,sbp,Int64,,,False,,
11,DBP,dbp,Int64,,,False,,
12,Resp,resp,Int64,,,False,,
13,Weight,weight,float64,,,False,,
14,Oedema,oedema,category,"{'V_0': 2, 'V_1': 1}",,False,,
15,FundalHeight,fundal_height,Int64,,,False,,
16,Fetal,fetal,category,"{'V_0': 1, 'V_2': 2}",,False,,
17,UterusTender,uterus_tender,category,"{'V_0': 2, 'V_1': 1}",,False,,
18,VaginaLoss,vagina_loss,category,"{'V_0': 2, 'V_2': 1}",,False,,
19,Well,well,category,"{'V_0': 1, 'V_1': 2}",,False,,
20,Problem,problem,string,,,False,,
21,Abnormal,abnormal,string,,,False,,
22,Fever,fever,category,"{'V_0': 2, 'V_2': 1}",,False,,
23,FeverSpec,fever_spec,category,"{'V_1': 'FEVER(MENTIONED ABOVE)IN THE 5TH MONTH OF PREGNANCY 2 DAYS AFTER THE SECOND DOSE OF TETANUS VACCINE.NO SPECIFIC TREATMENT NO MEDICAL CONSULTATION.', 'V_2': 'MILD FEVER, CHILLS.', 'V_3': '-FLU ON 30/12/2017'}",,False,,
24,Antibiotic,antibiotic,category,"{'V_0': 2, 'V_1': 1}",,False,,
25,AntibioticSpec,antibiotic_spec,string,,,False,,
26,OTHClinic,othclinic,category,"{'V_0': 2, 'V_1': 1}",,False,,
27,OTHClinicSpec,othclinic_spec,string,,,False,,
28,Obstetric,obstetric,category,"{'V_0': 1, 'V_1': 2}",,False,,
29,entry,entry,category,"{True: 1, False: 2, None: None}",,False,,
