,from_name,to_name,type,to_replace,timestamp,datetime,datetime_date,datetime_time
0,SUBJID,subjid,string,,,False,,
1,Initial,initial,string,,,False,,
2,FeverDate,fever_date,datetime64[ns],,,True,,
3,FeverTime,fever_time,string,,,False,,
4,ChillsRigors,chills_rigors,category,"{True: 1, False: 2, None: None}",,False,,
5,ChillsRigorsDate,chills_rigorsdate,datetime64[ns],,,True,,
6,Anorexia,anorexia,category,"{True: 1, False: 2, None: None}",,False,,
7,AnorexiaDate,anorexia_date,datetime64[ns],,,True,,
8,Nausea,nausea,category,"{True: 1, False: 2, None: None}",,False,,
9,NauseaDate,nausea_date,datetime64[ns],,,True,,
10,Vomiting,vomiting,category,"{True: 1, False: 2, None: None}",,False,,
11,VomitingDate,vomiting_date,datetime64[ns],,,True,,
12,VomitingSev,vomiting_sev,category,"{'V_1': 1, 'V_2': 2, 'V_3': 3}",,False,,
13,Diarrhoea,diarrhoea,category,"{True: 1, False: 2, None: None}",,False,,
14,DiarrhoeaDate,diarrhoea_date,datetime64[ns],,,True,,
15,Abdominal,abdominal,category,"{True: 1, False: 2, None: None}",,False,,
16,AbdominalDate,abdominal_date,datetime64[ns],,,True,,
17,AbdominalSev,abdominal_sev,category,"{'V_1': 1, 'V_2': 2, 'V_3': 3}",,False,,
18,SoreThroat,sore_throat,category,"{True: 1, False: 2, None: None}",,False,,
19,SoreThroatDate,sore_throatdate,datetime64[ns],,,True,,
20,Cough,cough,category,"{True: 1, False: 2, None: None}",,False,,
21,CoughDate,cough_date,datetime64[ns],,,True,,
22,Headache,headache,category,"{True: 1, False: 2, None: None}",,False,,
23,HeadacheDate,headache_date,datetime64[ns],,,True,,
24,HeadacheSev,headache_sev,category,"{'V_0': 1, 'V_1': 2, 'V_3': 3}",,False,,
25,JointBone,joint_bone,category,"{True: 1, False: 2, None: None}",,False,,
26,JointBoneDate,joint_bonedate,datetime64[ns],,,True,,
27,JointBoneSev,joint_bonesev,category,"{'V_0': 2, 'V_1': 3, 'V_2': 1}",,False,,
28,Muscle,muscle,category,"{True: 1, False: 2, None: None}",,False,,
29,MuscleDate,muscle_date,datetime64[ns],,,True,,
30,MuscleSev,muscle_sev,category,"{'V_0': 2, 'V_1': 3, 'V_3': 1}",,False,,
31,RetroOrbital,retro_orbital,category,"{True: 1, False: 2, None: None}",,False,,
32,RetroOrbitalDate,retro_orbitaldate,datetime64[ns],,,True,,
33,SkinBleeding,skin_bleeding,category,"{True: 1, False: 2, None: None}",,False,,
34,SkinDate,skin_date,datetime64[ns],,,True,,
35,MucosalBleeding,mucosal_bleeding,category,"{'V_0': 2, 'V_1': 1, 'V_2': 9}",,False,,
36,MucosalDate,mucosal_date,datetime64[ns],,,True,,
37,MucosalSpec,mucosal_spec,string,,,False,,
38,FeelingDizzy,feeling_dizzy,category,"{'V_0': 1, 'V_1': 2, 'V_2': 9}",,False,,
39,FeelingDizzyDate,feeling_dizzydate,datetime64[ns],,,True,,
40,OTHSymptom,othsymptom,string,,,False,,
41,Present,present,category,"{'V_0': 1, 'V_1': 9, 'V_2': 2}",,False,,
42,PresentDate,present_date,object,,,False,,
43,Treatment,treatment,string,,,False,,
44,TreatmentDrugs,treatment_drugs,category,"{True: 1, False: 2, None: None}",,False,,
45,TreatmentDetail,treatment_detail,string,,,False,,
46,Medication,medication,category,"{True: 1, False: 2, None: None}",,False,,
47,MedicationDetail,medication_detail,string,,,False,,
48,Urinalysis,urinalysis,category,"{True: 1, False: 2, None: None}",,False,,
49,entry,entry,category,"{True: 1, False: 2, None: None}",,False,,
50,0,date_fever,datetime64[ns],,,True,FeverDate,FeverTime
