,from_name,to_name,type,to_replace,timestamp,datetime,datetime_date,datetime_time
0,SUBJID,subjid,string,,,False,,
1,Initial,initial,string,,,False,,
2,Age,age,Int64,,,False,,
3,Occupation,occupation,Int64,,,False,,
4,OTHOccupation,othoccupation,string,,,False,,
5,District,district,string,,,False,,
6,Province,province,string,,,False,,
7,EnrolmentDate,enrolment_date,datetime64[ns],,,True,,
8,EnrolmentTime,enrolment_time,string,,,False,,
9,IllnessDay,illness_day,Int64,,,False,,
10,HTDDate,htddate,datetime64[ns],,,True,,
11,AdmissionDate,admission_date,datetime64[ns],,,True,,
12,AdmissionDateNA,admission_datena,boolean,,,False,,
13,Presenting,presenting,string,,,False,,
14,entry,entry,category,"{True: 1, False: 2, None: None}",,False,,
15,0,date_enrolment,datetime64[ns],,,True,EnrolmentDate,EnrolmentTime
