,from_name,to_name,type,to_replace,timestamp,datetime,datetime_date,datetime_time
0,SUBJID,subjid,string,,,False,,
1,Initial,initial,string,,,False,,
2,SystemKey,system_key,string,,,False,,
3,LabDate,lab_date,datetime64[ns],,,True,,
4,LabTime,lab_time,string,,,False,,
5,Platelet,platelet,float64,,,False,,
6,WBC,wbc,float64,,,False,,
7,Neutrophils,neutrophils,float64,,,False,,
8,Lymphocytes,lymphocytes,float64,,,False,,
9,Monocytes,monocytes,float64,,,False,,
10,Haemoglobin,haemoglobin,float64,,,False,,
11,Haematocrit,haematocrit,float64,,,False,,
12,TQ,tq,float64,,,False,,
13,TCK,tck,float64,,,False,,
14,Fibrinogen,fibrinogen,float64,,,False,,
15,Albumin,albumin,float64,,,False,,
16,AST,ast,float64,,,False,,
17,ALT,alt,float64,,,False,,
18,CK,ck,Int64,,,False,,
19,INR,inr,float64,,,False,,
20,entry,entry,category,"{True: 1, False: 2, None: None}",,False,,
21,0,date_lab,datetime64[ns],,,True,LabDate,LabTime
