,from_name,to_name,type,to_replace,timestamp,datetime,datetime_date,datetime_time
0,SUBJID,subjid,string,,,False,,
1,Initial,initial,string,,,False,,
2,Hypertension,hypertension,category,"{True: 1, False: 2, None: None}",,False,,
3,HypertensionDate,hypertension_date,category,{},,False,,
4,SBP,sbp,category,{},,False,,
5,DBP,dbp,category,{},,False,,
6,Proteinuria,proteinuria,category,{'V_1': 2},,False,,
7,HypertensionTreatment,hypertension_treatment,category,{},,False,,
8,GlucoseInt,glucose_int,category,"{True: 1, False: 2, None: None}",,False,,
9,GlucoseIntDate,glucose_intdate,datetime64[ns],,,True,,
10,BloodSugar,blood_sugar,category,"{'V_1': 7.3, 'V_2': 14.7}",,False,,
11,GlucoseIntSpec,glucose_intspec,category,"{'V_1': 'GLUCOSURIA:2.8 MMOL/L NO SPECIFIC TREATMENT.', 'V_2': 'INSULIN:  -15IU TID FOR 3 DAYS (14/04/2017-16/04/2017) THEN  -6IU BID FOR 2 DAYS (17/04/2017-18/04/2017)'}",,False,,
12,UrinaryProblem,urinary_problem,category,"{True: 1, False: 2, None: None}",,False,,
13,UrinaryDate,urinary_date,datetime64[ns],,,True,,
14,Urinalysis,urinalysis,category,{'V_1': 1},,False,,
15,UrinalysisSpec,urinalysis_spec,string,,,False,,
16,OrganismCultured,organism_cultured,category,"{'V_1': 2, 'V_2': 1}",,False,,
17,OrganismSpec,organism_spec,string,,,False,,
18,UrinaryTreatment,urinary_treatment,string,,,False,,
19,Labour,labour,category,"{True: 1, False: 2, None: None}",,False,,
20,LabourDate,labour_date,datetime64[ns],,,True,,
21,LabourToDelivery,labour_todelivery,category,{'V_1': 1},,False,,
22,Pregnancy,pregnancy,category,"{True: 1, False: 2, None: None}",,False,,
23,PregnancySpec,pregnancy_spec,string,,,False,,
24,PregnancyDate,pregnancy_date,datetime64[ns],,,True,,
25,PregnancyTreatment,pregnancy_treatment,string,,,False,,
26,entry,entry,category,"{True: 1, False: 2, None: None}",,False,,
