,from_name,to_name,type,to_replace,timestamp,datetime,datetime_date,datetime_time
0,SUBJID,subjid,string,,,False,,
1,Initial,initial,string,,,False,,
2,OBNo,obno,category,"{'V_0': 1, 'V_1': 2, 'V_2': 3}",,False,,
3,USType,ustype,category,"{'V_0': 'US1', 'V_1': 'US2', 'V_2': 'US3'}",,False,,
4,BabyNo,baby_no,category,"{'V_1': 1, 'V_2': 2}",,False,,
5,CombinedKey,combined_key,string,,,False,,
6,OBDate,obdate,datetime64[ns],,,True,,
7,Fetus,fetus,category,"{'V_0': 1, 'V_2': 2}",,False,,
8,FetusNotSeen,fetus_notseen,boolean,,,False,,
9,Cardiac,cardiac,category,"{'V_0': 1, 'V_1': 2}",,False,,
10,CardiacNoDetection,cardiac_nodetection,boolean,,,False,,
11,HeartRate,heart_rate,Int64,,,False,,
12,HeartRateNoDetection,heart_rateno_detection,boolean,,,False,,
13,PlacentalThickness,placental_thickness,float64,,,False,,
14,NoMeasure,no_measure,boolean,,,False,,
15,Retroplacental,retroplacental,category,"{'V_0': 2, 'V_1': 9, 'V_3': 1}",,False,,
16,AFI,afi,float64,,,False,,
17,AFIUnK,afiun_k,boolean,,,False,,
18,Echogenic,echogenic,category,"{'V_0': 2, 'V_1': 9, 'V_2': 1}",,False,,
19,CRL,crl,float64,,,False,,
20,BPD,bpd,float64,,,False,,
21,TAD,tad,float64,,,False,,
22,APTD,aptd,float64,,,False,,
23,FL,fl,float64,,,False,,
24,Weight,weight,Int64,,,False,,
25,WeightUnk,weight_unk,boolean,,,False,,
26,AgeWeek,age_week,Int64,,,False,,
27,AgeDay,age_day,Int64,,,False,,
28,AgeUnK,age_unk,boolean,,,False,,
29,UterineArtery,uterine_artery,category,"{'V_0': 2, 'V_2': 1, 'V_3': 9}",,False,,
30,CerebralArtery,cerebral_artery,float64,,,False,,
31,CerebralNoMeasure,cerebral_nomeasure,boolean,,,False,,
32,UmbilicalArtery,umbilical_artery,float64,,,False,,
33,UmbilicalNoMeasure,umbilical_nomeasure,boolean,,,False,,
34,Myometrium,myometrium,category,"{'V_0': 2, 'V_2': 1}",,False,,
35,OTHFinding,othfinding,string,,,False,,
36,Conclusion,conclusion,string,,,False,,
37,entry,entry,category,"{True: 1, False: 2, None: None}",,False,,
