,from_name,to_name,type,to_replace,timestamp,datetime,datetime_date,datetime_time
0,SUBJID,subjid,string,,,False,,
1,Initial,initial,string,,,False,,
2,SystemKey,system_key,string,,,False,,
3,LabDate,lab_date,datetime64[ns],,,True,,
4,LabTime,lab_time,string,,,False,,
5,UBG,ubg,category,"{'V_1': 35, 'V_2': 70, 'V_3': 2, 'V_4': 140}",,False,,
6,UBGNeg,ubgneg,boolean,,,False,,
7,Glucose,glucose,category,"{'V_1': 2.8, 'V_2': 8.0, 'V_3': 28.0, 'V_4': 56.0}",,False,,
8,GlucoseNeg,glucose_neg,boolean,,,False,,
9,KET,ket,float64,,,False,,
10,KETNeg,ketneg,boolean,,,False,,
11,Bilirubin,bilirubin,category,"{'V_1': 50, 'V_2': 17, 'V_3': 1}",,False,,
12,BilirubinNeg,bilirubin_neg,boolean,,,False,,
13,Protein,protein,category,"{'V_1': 0.3, 'V_2': 5.0, 'V_3': 1.0}",,False,,
14,ProteinNeg,protein_neg,boolean,,,False,,
15,Nitrit,nitrit,category,"{True: 1, False: 2, None: None}",,False,,
16,pH,p_h,category,"{'V_0': 7, 'V_1': 8, 'V_2': 6, 'V_3': 5, 'V_4': 9}",,False,,
17,ERY,ery,category,"{'V_1': 50, 'V_2': 300, 'V_3': 10}",,False,,
18,ERYNeg,eryneg,boolean,,,False,,
19,SG,sg,float64,,,False,,
20,LEU,leu,category,"{'V_0': 75.0, 'V_2': 500.0, 'V_3': 25.0, 'V_4': 2.5}",,False,,
21,LEUNeg,leuneg,boolean,,,False,,
22,ASCValue,ascvalue,category,"{'V_1': 20.0, 'V_2': 0.4, 'V_3': 0.2, 'V_4': 40.0}",,False,,
23,ASCNeg,ascneg,boolean,,,False,,
24,UrineSediment,urine_sediment,string,,,False,,
25,entry,entry,category,"{True: 1, False: 2, None: None}",,False,,
26,0,date_lab,datetime64[ns],,,True,LabDate,LabTime
