,from_name,to_name,type,to_replace,timestamp,datetime,datetime_date,datetime_time
0,SUBJID,subjid,string,,,False,,
1,Initial,initial,string,,,False,,
2,Ultrasound,ultrasound,category,"{True: 1, False: 2, None: None}",,False,,
3,UltrasoundDate,ultrasound_date,datetime64[ns],,,True,,
4,UltrasoundTime,ultrasound_time,string,,,False,,
5,UNormal,unormal,boolean,,,False,,
6,Uascites,uascites,boolean,,,False,,
7,UPleuralEffusion,upleural_effusion,boolean,,,False,,
8,UPericardialEffusion,upericardial_effusion,boolean,,,False,,
9,Uhepatomegaly,uhepatomegaly,boolean,,,False,,
10,UGallBladder,ugall_bladder,boolean,,,False,,
11,OTHUltrasound,othultrasound,boolean,,,False,,
12,OTHUltrasoundSpec,othultrasound_spec,string,,,False,,
13,entry,entry,category,"{True: 1, False: 2, None: None}",,False,,
14,0,date_ultrasound,datetime64[ns],,,True,UltrasoundDate,UltrasoundTime
