,0
study_no,object
date,datetime64[ns]
abdominal_pain,boolean
abdominal_tenderness,object
abscess,object
alt,Float64
ascites,boolean
ast,Float64
bleeding_gum,boolean
bleeding_mucosal,boolean
bleeding_nose,boolean
bleeding_other,boolean
bleeding_severe,object
bleeding_skin,boolean
bleeding_vaginal,boolean
body_temperature,Float64
bruising,boolean
chills,boolean
cns_abnormal,boolean
cough,boolean
creatinine,Float64
crp,float64
dbp,Float64
diabetes,bool
diarrhoea,boolean
event_admission,boolean
event_discharge,boolean
event_enrolment,boolean
event_fever,object
event_fluid_end,object
event_fluid_start,object
event_shock,boolean
haematocrit_percent,float64
headache,boolean
height,float64
hematoma,object
hematuria,object
lethargy,object
liver_palpation,object
liver_palpation_size,float64
melaena,object
multiple_shock,object
oedema,object
outcome,string
parental_fluid_volume,float64
petechiae,boolean
pleural_effusion,boolean
plt,Float64
procalcitonin,float64
pulse,Float64
rales_crackles,boolean
respiratory_distress,boolean
respiratory_rate,Float64
sbp,Float64
skin_rash,boolean
spleen_palpation,object
spleen_palpation_size,float64
spo2_percent,float64
urea,float64
vomiting,boolean
wbc,float64
weight,float64
parental_fluid,boolean
shock,boolean
shock_multiple,boolean
day_from_enrolment,object
day_from_admission,int64
