,dtypes,%nan,count,unique,mean,std,min,25%,50%,75%,max,categories
study_no,string,0.0,80899,8107,,,,,,,,
date,datetime64[ns],0.0037083276678231414,80896,24936,2012-07-11 02:50:24.071647488,,2010-10-17 05:00:00,2011-10-03 00:00:00,2012-07-05 00:00:00,2013-03-12 13:52:30,2014-12-18 00:00:00,
abdominal_pain,boolean,55.95124785226023,35635,2,,,,,,,,False (33873) | True (1762) | nan (45264)
abdominal_tenderness,boolean,89.98751529685163,8100,2,,,,,,,,False (7963) | True (137) | nan (72799)
age,Int64,0.11866648537063895,80803,16,6.366570548123213,3.6281760634707294,0.0,3.0,6.0,9.0,15.0,
agitated,boolean,99.99258334466434,6,2,,,,,,,,False (4) | True (2) | nan (80893)
albumin,Float64,90.01223748130386,8080,212,44.074504950495005,3.1241491579879637,14.8,42.1,44.1,46.1,55.1,
alt,Float64,90.01223748130386,8080,201,24.14688118811881,62.668408070937694,1.0,13.0,17.0,23.0,4827.0,
anorexia,boolean,0.0,80899,2,,,,,,,,False (80482) | True (417)
ascites,Int64,84.59684297704545,12461,2,0.01613032661905144,0.1259817957847485,0.0,0.0,0.0,0.0,1.0,0.0 (12260) | 1.0 (201) | nan (68438)
ast,Float64,90.01223748130386,8080,246,50.184975247524754,54.243567762854966,9.0,36.0,43.0,53.0,2529.0,
bleeding,boolean,64.7053733667907,28553,2,,,,,,,,<NA> (52346) | False (27440) | True (1113)
bleeding_gi,Int64,99.73176429869343,217,2,0.7327188940092166,0.44356351507972563,0.0,0.0,1.0,1.0,1.0,0.0 (58) | 1.0 (159) | nan (80682)
bleeding_gum,Int64,99.73176429869343,217,2,0.16129032258064516,0.3686489265728592,0.0,0.0,0.0,0.0,1.0,0.0 (182) | 1.0 (35) | nan (80682)
bleeding_mucosal,Int64,0.008652764558277681,80892,2,0.022462048162982744,0.148181564308281,0.0,0.0,0.0,0.0,1.0,0.0 (79075) | 1.0 (1817) | nan (7)
