,0
study_no,int64
date,datetime64[ns]
abdominal_distension,object
abdominal_pain,boolean
abdominal_tenderness,object
age,Float64
ascites,boolean
ast,Float64
bleeding,boolean
bleeding_gi,boolean
bleeding_gum,boolean
bleeding_skin,boolean
body_temperature,Float64
breath_short,object
bruising,object
chills,boolean
cns_abnormal,boolean
cough,boolean
dbp,Float64
epistaxis,object
event_death,boolean
event_discharge,boolean
fever,object
gender,object
haematocrit_percent,float64
headache,boolean
heart_sound,object
liver_palpation_size,float64
lymphadenopathy,object
muscle_pain,boolean
oedema,object
outcome,object
parental_fluid,boolean
pcr_dengue_interpretation,object
pcr_dengue_serotype,object
petechiae,object
pleural_effusion_left,object
pleural_effusion_right,object
plt,Float64
pulse,Float64
pulse_pressure,float64
respiratory_rate,Float64
restlessness,boolean
sbp,Float64
serology_elisa_interpretation,object
serology_interpretation,object
skin_rash,boolean
spleen_palpation_size,float64
tourniquet_test_interpretation,object
vomiting,boolean
weight,float64
pleural_effusion,boolean
