,0
study_no,int64
date,datetime64[ns]
abdominal_distension,object
abdominal_pain,boolean
age,Float64
albumin,Float64
alt,Float64
ascites,boolean
ast,Float64
bilirubin_direct,float64
bilirubin_total,float64
bleeding,boolean
bleeding_gi,boolean
bleeding_gum,boolean
bleeding_mucosal,boolean
bleeding_nose,boolean
bleeding_skin,boolean
bleeding_vaginal,boolean
body_temperature,Float64
bruising,object
cough,boolean
creatinine,Float64
diarrhoea,boolean
ecchymose,object
ecchymoses,object
effusion,object
event_death,boolean
event_discharge,boolean
event_enrolment,boolean
gender,object
haematocrit_percent,float64
haemoglobin,Float64
headache,boolean
heart_sound,object
height,float64
hematemesis,object
hematoma,object
hematuria,object
igg,float64
igg_interpretation,object
igm,float64
igm_interpretation,object
jaundice,boolean
joint_pain,object
liver_palpation_size,float64
lymphocytes_percent,float64
melaena,object
muscle_pain,boolean
neutrophils_percent,float64
oedema,object
parental_fluid,boolean
parental_fluid_period,float64
parental_fluid_volume,float64
pcr_dengue_load,float64
pcr_dengue_reaction,float64
petechiae,object
pleural_effusion,boolean
pleural_efussion,object
plt,Float64
pulse,Float64
respiratory_distress,boolean
restlessness,boolean
runny_nose,object
serotype,object
shock,boolean
shock_multiple,boolean
skin_rash,boolean
sore_throat,object
vomiting,boolean
wbc,float64
weight,float64
