,0
study_no,object
date,datetime64[ns]
abdominal_distension,object
abdominal_pain,boolean
abdominal_tenderness,object
age,Float64
ascites,boolean
bleeding,boolean
bleeding_gi,boolean
bleeding_gum,boolean
bleeding_mucosal,boolean
body_temperature,Float64
bruising,object
dbp,Float64
epistaxis,object
event_admission,boolean
event_discharge,boolean
event_followup,boolean
event_shock,boolean
gender,object
haematocrit_percent,float64
heart_sound,object
liver_palpation_size,float64
lymphadenopathy,object
outcome,object
parental_fluid_volume,float64
pcr_dengue_load,float64
pcr_dengue_serotype,object
petechiae,object
plt,Float64
pulse,Float64
respiratory_rate,Float64
sbp,Float64
shock,boolean
skin_rash,boolean
tourniquet_test_interpretation,object
weight,float64
parental_fluid,boolean
shock_multiple,boolean
